img_fName,img_w,img_h,bbx_xtl,bbx_ytl,bbx_xbr,bbx_ybr,class_label
train_00000.jpeg,2448,3264,1301,1546,1641,2096,albopictus
train_00004.jpeg,1024,1365,129,231,697,1007,culex
train_00009.jpeg,768,1024,180,140,683,744,albopictus
train_00010.jpeg,3168,4224,630,1516,2560,3087,albopictus
train_00016.jpeg,924,697,236,172,592,528,albopictus
train_00024.jpeg,3000,4000,824,1001,1748,2063,culex
train_00027.jpeg,768,1024,276,457,439,675,culex
train_00034.jpeg,3840,5120,1379,965,3603,3155,albopictus
train_00038.jpeg,1024,1365,210,62,926,1155,culex
train_00041.jpeg,2160,3840,796,1601,1519,2508,albopictus
train_00048.jpeg,2250,4000,908,1759,1292,2260,albopictus
train_00053.jpeg,1024,1024,212,34,823,825,culex
train_00061.jpeg,3024,4032,1508,1753,2129,2305,culex
train_00063.jpeg,4032,3024,2249,1253,2464,1589,culex
train_00064.jpeg,4608,3456,1664,1740,2352,2253,albopictus
train_00065.jpeg,3120,4160,1307,1822,1834,2436,albopictus
train_00072.jpeg,461,346,170,121,269,197,albopictus
train_00080.jpeg,2129,1024,620,299,1191,730,albopictus
train_00084.jpeg,3024,4032,1052,1282,1638,1952,albopictus
train_00085.jpeg,768,1024,304,370,386,499,culex
train_00089.jpeg,3024,4032,954,1784,1456,2337,albopictus
train_00092.jpeg,768,1024,212,507,448,660,culex
train_00095.jpeg,2128,4608,259,535,1964,2920,albopictus
train_00099.jpeg,768,1024,308,537,487,674,albopictus
train_00103.jpeg,1024,1365,479,585,754,853,culex
train_00110.jpeg,768,1024,146,368,656,907,albopictus
train_00113.jpeg,1024,1365,381,330,584,617,culex
train_00114.jpeg,1600,719,737,123,1012,364,culex
train_00123.jpeg,1498,1367,438,397,751,834,albopictus
train_00125.jpeg,2336,4160,1097,2042,1439,2350,albopictus
train_00130.jpeg,2048,1024,861,314,1263,735,culex
train_00131.jpeg,1249,823,117,235,766,667,albopictus
train_00132.jpeg,768,1024,375,546,501,676,albopictus
train_00136.jpeg,768,1024,163,310,376,616,culex
train_00137.jpeg,820,1249,389,570,567,792,albopictus
train_00138.jpeg,3000,4000,520,1459,2669,3633,albopictus
train_00140.jpeg,1800,4000,19,767,1574,3175,culex
train_00144.jpeg,1458,2592,493,1421,843,1792,albopictus
train_00146.jpeg,768,1024,275,503,350,602,albopictus
train_00147.jpeg,3024,4032,749,1688,1853,2646,culex
train_00152.jpeg,3120,4208,1338,2039,1772,2444,albopictus
train_00154.jpeg,1088,1920,325,1389,602,1597,albopictus
train_00158.jpeg,3120,4160,1110,1897,1771,2523,japonicus-koreicus
train_00165.jpeg,3120,4160,1067,1538,2617,3450,albopictus
train_00180.jpeg,3024,4032,916,1720,2202,2928,culex
train_00186.jpeg,1459,1157,284,272,1118,1040,culex
train_00188.jpeg,768,1024,285,455,456,629,culex
train_00191.jpeg,650,986,147,235,555,672,albopictus
train_00198.jpeg,3024,4032,1070,2104,1659,2577,culex
train_00199.jpeg,1536,2048,670,936,1000,1388,culiseta
train_00204.jpeg,3968,2976,1277,1234,1776,1794,albopictus
train_00205.jpeg,1116,1381,135,234,1035,1093,albopictus
train_00208.jpeg,4000,3000,1979,926,2477,1243,albopictus
train_00212.jpeg,900,1600,259,593,506,903,albopictus
train_00215.jpeg,1024,2106,327,938,608,1127,albopictus
train_00216.jpeg,3000,4000,217,812,1587,2315,culex
train_00217.jpeg,616,616,159,170,495,502,albopictus
train_00226.jpeg,3024,4032,1163,1765,2092,2862,albopictus
train_00233.jpeg,768,1024,261,369,473,547,culex
train_00237.jpeg,738,1599,165,656,321,844,culex
train_00241.jpeg,4128,3096,914,1244,2764,2106,albopictus
train_00252.jpeg,3024,4032,912,2392,1939,3351,albopictus
train_00254.jpeg,1569,2048,516,782,737,1039,albopictus
train_00257.jpeg,3456,4608,1246,1716,1966,2689,albopictus
train_00266.jpeg,3024,4032,991,1187,1883,2514,albopictus
train_00269.jpeg,1080,1644,66,466,1036,1265,albopictus
train_00274.jpeg,2448,4080,341,1746,1128,2345,albopictus
train_00275.jpeg,2368,4208,1280,1709,1684,2017,albopictus
train_00285.jpeg,3000,4000,611,1228,1916,2633,culex
train_00286.jpeg,1024,1820,101,266,456,1094,culiseta
train_00294.jpeg,768,1024,230,201,697,616,culex
train_00295.jpeg,3024,4032,1265,1842,2327,2669,albopictus
train_00306.jpeg,1820,1024,807,354,1117,693,culex
train_00311.jpeg,1746,2326,734,1183,1283,1587,culex
train_00314.jpeg,1024,1363,386,635,630,841,albopictus
train_00315.jpeg,768,1024,296,509,436,659,culex
train_00316.jpeg,1080,1354,169,177,807,834,albopictus
train_00317.jpeg,768,1024,356,595,434,685,culex
train_00318.jpeg,1024,1365,155,442,647,1020,culex
train_00319.jpeg,8000,6000,3295,2616,4233,3262,albopictus
train_00327.jpeg,1944,2592,822,1065,1188,1541,culex
train_00346.jpeg,4032,1960,1066,145,2109,891,culiseta
train_00348.jpeg,1024,2163,332,841,595,1152,albopictus
train_00350.jpeg,1920,1080,615,15,1522,1023,albopictus
train_00357.jpeg,2448,3264,871,1811,1269,2219,albopictus
train_00358.jpeg,768,1024,234,246,589,573,culex
train_00362.jpeg,768,1024,405,481,482,563,culex
train_00366.jpeg,1920,2560,859,1084,1294,1335,culex
train_00367.jpeg,4032,2268,1775,970,2148,1470,albopictus
train_00371.jpeg,3024,4032,1034,2027,1313,2404,culex
train_00373.jpeg,4032,1960,2060,183,2645,476,albopictus
train_00381.jpeg,2448,3264,1201,1593,1650,2095,albopictus
train_00386.jpeg,3024,4032,1206,1518,1949,2432,albopictus
train_00388.jpeg,3024,4032,1222,1748,2026,2803,culex
train_00392.jpeg,1160,2576,366,748,807,1228,culex
train_00395.jpeg,3024,4032,741,2622,1712,3453,culex
train_00406.jpeg,718,958,60,188,589,751,albopictus
train_00416.jpeg,1200,1600,504,871,802,1114,culex
train_00418.jpeg,768,1024,137,236,575,649,albopictus
train_00422.jpeg,4248,5664,1706,2412,2389,3175,albopictus
train_00429.jpeg,2736,3648,434,1002,1862,2398,culex
train_00430.jpeg,768,1024,264,342,746,701,albopictus
train_00439.jpeg,3024,4032,1132,1512,1576,2026,culiseta
train_00443.jpeg,3000,4000,958,1203,2141,2804,anopheles
train_00444.jpeg,1317,1426,413,608,707,980,culex
train_00445.jpeg,3120,4160,860,1321,1358,1847,culex
train_00451.jpeg,724,966,109,147,709,918,culiseta
train_00452.jpeg,2250,4000,16,1105,2060,2827,culex
train_00454.jpeg,750,1000,286,424,422,581,albopictus
train_00465.jpeg,1232,1643,397,638,751,939,albopictus
train_00468.jpeg,4032,3024,861,859,3783,2923,culex
train_00469.jpeg,3492,4656,1310,2426,1772,2926,culex
train_00475.jpeg,2128,4608,552,1018,1816,2320,albopictus
train_00481.jpeg,2160,3840,701,1970,1061,2280,culiseta
train_00486.jpeg,3000,4000,462,291,2879,2872,culex
train_00487.jpeg,3000,4000,366,530,2922,2645,culex
train_00494.jpeg,4032,2268,55,479,2104,2190,anopheles
train_00496.jpeg,768,1024,312,461,416,625,culex
train_00499.jpeg,2576,1932,772,690,1385,1285,culex
train_00502.jpeg,3024,4032,978,1835,1603,2473,culex
train_00503.jpeg,1798,2050,360,645,1301,1338,culex
train_00508.jpeg,3024,4032,1185,850,2569,2770,culex
train_00511.jpeg,5248,3936,2128,972,3725,2544,albopictus
train_00512.jpeg,1200,1600,278,521,862,922,culex
train_00513.jpeg,1944,2592,364,656,1431,1886,culex
train_00520.jpeg,2268,4032,907,2383,1350,2834,albopictus
