img_fName,img_w,img_h,bbx_xtl,bbx_ytl,bbx_xbr,bbx_ybr,class_label
train_00005.jpeg,1152,2560,197,798,1058,1551,albopictus
train_00007.jpeg,2128,4608,248,728,2049,1992,albopictus
train_00008.jpeg,4000,2250,1768,899,2414,1591,albopictus
train_00012.jpeg,3024,4032,131,1420,2146,2814,culex
train_00017.jpeg,768,1024,284,461,453,698,culex
train_00018.jpeg,1024,1820,576,754,801,1143,culiseta
train_00020.jpeg,4032,2268,2227,786,2600,1458,albopictus
train_00025.jpeg,996,995,427,333,628,520,albopictus
train_00026.jpeg,828,1792,342,760,565,1068,culex
train_00028.jpeg,1024,1365,432,576,594,734,culex
train_00031.jpeg,3024,4032,1196,1162,1803,2060,culex
train_00032.jpeg,3024,4032,410,767,2233,2464,japonicus-koreicus
train_00033.jpeg,3024,4032,869,1017,2019,2588,japonicus-koreicus
train_00036.jpeg,2448,3264,546,1233,1487,2302,albopictus
train_00039.jpeg,2992,4000,204,1917,2164,3891,albopictus
train_00040.jpeg,804,780,273,264,556,472,albopictus
train_00047.jpeg,271,362,39,9,235,329,albopictus
train_00054.jpeg,1024,1365,255,404,470,638,culex
train_00057.jpeg,768,1024,148,40,768,940,culiseta
train_00058.jpeg,2268,4032,702,1640,1698,2345,culex
train_00059.jpeg,768,1024,288,476,400,590,culex
train_00070.jpeg,1600,1200,649,259,1115,819,culiseta
train_00073.jpeg,2448,3264,759,918,1799,1967,albopictus
train_00075.jpeg,1365,1024,246,299,1051,894,culiseta
train_00077.jpeg,2268,4032,539,1611,1264,2358,culex
train_00079.jpeg,2241,1734,613,625,1342,1274,albopictus
train_00081.jpeg,2448,3264,659,1005,1459,1800,albopictus
train_00094.jpeg,768,1024,300,520,395,642,culex
train_00100.jpeg,5312,3984,2974,1856,3421,2242,albopictus
train_00104.jpeg,768,1024,302,540,422,646,albopictus
train_00112.jpeg,3024,4032,188,879,2315,3004,japonicus-koreicus
train_00115.jpeg,1908,4032,392,1534,1120,2463,culex
train_00121.jpeg,3024,4032,638,930,1873,2397,albopictus
train_00126.jpeg,1024,1368,46,396,895,960,culex
train_00128.jpeg,1365,1024,362,308,540,446,culex
train_00135.jpeg,3024,4032,1188,1426,1943,2290,albopictus
train_00141.jpeg,576,1024,200,494,441,709,culex
train_00143.jpeg,3840,5120,970,593,3165,3353,culiseta
train_00153.jpeg,768,1024,82,54,724,501,culex
train_00155.jpeg,3024,4032,1145,1638,1651,2260,culex
train_00159.jpeg,1627,1545,137,378,1493,1292,culex
train_00164.jpeg,893,848,346,244,592,661,culex
train_00166.jpeg,2250,4000,559,1473,1403,2358,culiseta
train_00171.jpeg,1365,1024,302,133,865,789,culex
train_00173.jpeg,2666,1501,934,404,1748,1073,albopictus
train_00174.jpeg,3000,4000,1215,1979,1855,2419,culex
train_00175.jpeg,2604,4624,626,1408,1540,2447,albopictus
train_00177.jpeg,768,1024,256,316,476,543,culex
train_00181.jpeg,1024,1367,256,643,552,926,culiseta
train_00182.jpeg,1298,1179,377,282,996,725,culex
train_00183.jpeg,1024,1365,33,306,987,922,culex
train_00187.jpeg,3000,4000,181,1072,2602,3311,albopictus
train_00189.jpeg,3024,4032,848,1402,1617,2111,culiseta
train_00196.jpeg,4000,3000,2711,1309,3092,1716,albopictus
train_00201.jpeg,1024,1365,337,1002,628,1212,japonicus-koreicus
train_00207.jpeg,1932,2576,746,928,1215,1414,albopictus
train_00224.jpeg,768,1024,317,540,443,651,albopictus
train_00229.jpeg,3024,4032,1137,1948,1609,2470,albopictus
train_00232.jpeg,1285,1288,143,303,957,957,albopictus
train_00242.jpeg,4032,3024,394,205,2381,2069,culex
train_00247.jpeg,640,1136,310,382,494,661,albopictus
train_00248.jpeg,491,510,145,74,442,447,albopictus
train_00250.jpeg,768,1024,260,420,397,572,culex
train_00255.jpeg,1365,1024,365,314,926,824,culex
train_00258.jpeg,2240,3968,754,1488,1155,1941,albopictus
train_00259.jpeg,3024,4032,784,1913,1511,2521,culex
train_00261.jpeg,1024,1818,348,702,758,1044,japonicus-koreicus
train_00264.jpeg,1024,1820,524,532,701,739,albopictus
train_00265.jpeg,1365,1024,602,145,997,510,culex
train_00276.jpeg,3120,4160,878,2894,1361,3521,culex
train_00279.jpeg,3024,4032,1063,1593,1532,2347,albopictus
train_00281.jpeg,3024,4032,929,1229,1812,2592,culex
train_00284.jpeg,3024,4032,922,1314,1460,1767,culex
train_00287.jpeg,3000,4000,1094,1938,1879,2722,culex
train_00300.jpeg,3024,4032,632,669,2126,2905,culiseta
train_00307.jpeg,768,1024,333,424,487,537,culex
train_00308.jpeg,768,1024,362,407,467,510,culex
train_00310.jpeg,768,1024,183,635,317,775,albopictus
train_00312.jpeg,768,1024,393,369,496,515,culex
train_00313.jpeg,768,1024,231,352,581,577,culiseta
train_00321.jpeg,1024,1365,436,741,566,868,culex
train_00324.jpeg,3024,3024,660,1283,1519,2242,culex
train_00330.jpeg,5616,2808,1889,447,2957,1885,albopictus
train_00337.jpeg,1024,2219,49,271,874,1257,culex
train_00342.jpeg,2131,2013,862,776,1575,1307,culex
train_00344.jpeg,768,1024,333,505,493,628,culex
