img_fName,img_w,img_h,bbx_xtl,bbx_ytl,bbx_xbr,bbx_ybr,class_label
train_00001.jpeg,3024,4032,900,1897,1950,2990,albopictus
train_00002.jpeg,768,1024,220,58,659,808,albopictus
train_00011.jpeg,768,1024,186,209,562,669,culex
train_00015.jpeg,1024,1024,347,306,623,643,albopictus
train_00037.jpeg,768,1024,203,341,605,778,culex
train_00042.jpeg,1024,768,539,209,649,324,albopictus
train_00043.jpeg,594,890,64,307,344,518,albopictus
train_00044.jpeg,2448,3264,897,1298,1337,1616,albopictus
train_00046.jpeg,363,422,53,48,314,315,culex
train_00049.jpeg,1024,1820,37,414,515,884,culex
train_00050.jpeg,3024,4032,916,1060,2112,1881,culex
train_00052.jpeg,3024,4032,1193,1344,2130,2063,culex
train_00056.jpeg,3024,4032,879,1859,1419,2945,culex
train_00060.jpeg,1024,1365,131,482,536,711,albopictus
train_00062.jpeg,3024,4032,1279,1702,1885,2311,culex
train_00066.jpeg,2160,2880,677,1623,1016,1995,albopictus
train_00067.jpeg,613,573,205,112,438,420,albopictus
train_00069.jpeg,2448,3264,811,1326,1751,2504,albopictus
train_00074.jpeg,1024,1365,520,700,640,908,culex
train_00076.jpeg,768,1024,228,370,540,850,culex
train_00078.jpeg,1024,1365,290,511,561,993,culex
train_00082.jpeg,2322,4128,1002,1772,1614,2542,culex
train_00088.jpeg,5312,2988,2983,1187,3610,2085,japonicus-koreicus
train_00096.jpeg,3968,2240,1673,1065,2765,1728,albopictus
train_00097.jpeg,4608,3456,1220,167,3308,2164,culiseta
train_00098.jpeg,826,1051,210,321,564,708,albopictus
train_00102.jpeg,1816,4032,668,1884,977,2254,culex
train_00105.jpeg,3024,4032,116,1717,1719,2854,albopictus
train_00108.jpeg,1024,1365,345,277,640,590,culex
train_00109.jpeg,1600,1200,398,259,1512,1011,culex
train_00116.jpeg,680,906,151,0,574,767,albopictus
train_00117.jpeg,1356,1513,167,92,1215,1177,culex
train_00118.jpeg,2610,4640,704,1586,1659,2245,albopictus
train_00119.jpeg,4608,2592,2292,111,3897,1525,culex
train_00120.jpeg,2448,3264,1015,1216,1363,1607,albopictus
train_00124.jpeg,3456,4608,684,2537,2944,3651,japonicus-koreicus
train_00127.jpeg,1152,1123,390,302,666,715,albopictus
train_00133.jpeg,5616,2808,872,459,3656,2449,culex
train_00145.jpeg,4608,3456,1333,965,3559,2781,albopictus
train_00151.jpeg,3024,4032,1608,2034,2419,2988,albopictus
train_00156.jpeg,1785,1443,573,340,1207,974,albopictus
train_00161.jpeg,768,1024,359,455,493,604,culex
train_00167.jpeg,2304,4096,939,1901,1406,2204,albopictus
train_00168.jpeg,3024,4032,986,1143,2095,2079,culex
train_00169.jpeg,768,1024,269,485,415,607,culex
train_00172.jpeg,3120,4160,1444,2254,2005,2861,aegypti
train_00176.jpeg,768,1024,222,371,413,633,albopictus
train_00178.jpeg,2736,3648,615,1263,1820,2786,albopictus
train_00179.jpeg,4608,3456,1079,608,3286,2730,culex
train_00185.jpeg,2976,3968,940,1757,1401,2342,albopictus
train_00190.jpeg,1024,1365,342,419,727,884,albopictus
train_00192.jpeg,4224,5632,1152,1819,2508,3373,culex
train_00194.jpeg,3024,4032,559,1493,1917,3056,albopictus
train_00200.jpeg,1191,1145,376,534,824,859,albopictus
train_00206.jpeg,1261,1778,667,834,806,1008,albopictus
train_00218.jpeg,750,1334,55,347,692,924,japonicus-koreicus
train_00219.jpeg,4608,2592,1201,615,3195,2000,albopictus
train_00221.jpeg,871,944,283,372,566,655,culex
train_00223.jpeg,1160,2576,393,767,776,1174,albopictus
train_00225.jpeg,2268,4032,1102,1876,1381,2213,albopictus
train_00227.jpeg,2448,3264,843,1161,1498,2096,albopictus
train_00228.jpeg,4128,2322,1914,1048,2337,1444,albopictus
train_00235.jpeg,1024,1365,155,283,449,744,albopictus
train_00239.jpeg,3024,4032,1079,1981,1957,2480,japonicus-koreicus
train_00240.jpeg,1024,1365,16,503,773,1256,culex
train_00244.jpeg,3024,4032,810,1366,1785,2186,culiseta
train_00245.jpeg,3840,5120,685,2349,2238,4119,albopictus
train_00256.jpeg,538,956,98,343,448,804,culex
train_00260.jpeg,1960,4032,336,1251,745,1672,albopictus
train_00262.jpeg,3024,4032,1304,1853,1890,2271,albopictus
train_00263.jpeg,768,1024,202,357,531,686,culex
train_00267.jpeg,1024,1365,435,845,621,1044,culex
train_00268.jpeg,1024,2272,311,843,738,1435,culex
train_00270.jpeg,1352,1803,482,677,795,1054,culex
train_00271.jpeg,1024,2106,286,973,558,1402,culex
