img_fName,img_w,img_h,bbx_xtl,bbx_ytl,bbx_xbr,bbx_ybr,class_label
train_00003.jpeg,3456,4608,1169,2364,1586,2826,albopictus
train_00006.jpeg,3072,4080,1104,1030,2458,2911,anopheles
train_00013.jpeg,768,1024,272,628,374,735,culex
train_00014.jpeg,1800,4000,727,1561,1005,1757,culex
train_00019.jpeg,1627,2081,672,644,1222,1194,culex
train_00021.jpeg,3000,4000,1075,1355,1854,2111,albopictus
train_00022.jpeg,3024,4032,949,796,1857,1633,culiseta
train_00023.jpeg,1024,1365,316,646,588,901,culex
train_00029.jpeg,768,1024,161,251,474,725,japonicus-koreicus
train_00030.jpeg,1024,1365,370,688,503,841,culex
train_00035.jpeg,4032,3024,1886,1375,2231,1653,albopictus
train_00045.jpeg,1024,1024,465,380,699,610,culex
train_00051.jpeg,4032,1908,2140,62,3393,920,culex
train_00055.jpeg,1024,1365,304,417,788,850,culex
train_00068.jpeg,3024,4032,1199,1986,1795,2466,culex
train_00071.jpeg,3024,4032,931,2208,1050,2335,albopictus
train_00083.jpeg,2627,2370,227,316,2287,1955,albopictus
train_00086.jpeg,2146,2861,955,1766,1351,2303,culex
train_00087.jpeg,1200,1600,278,574,802,1276,culex
train_00090.jpeg,3000,4000,692,1699,1769,2732,culex
train_00091.jpeg,3024,4032,973,500,2093,2299,culiseta
train_00093.jpeg,1200,1600,209,402,1015,1091,japonicus-koreicus
train_00101.jpeg,768,1024,225,278,592,650,culex
train_00106.jpeg,1094,1675,232,443,863,1335,albopictus
train_00107.jpeg,768,1024,151,151,664,828,culex
train_00111.jpeg,750,1334,134,389,529,816,albopictus
train_00122.jpeg,1024,1365,260,383,791,1013,culex
train_00129.jpeg,795,749,115,145,682,622,culex
train_00134.jpeg,3024,4032,1017,2061,1939,2757,culex
train_00139.jpeg,1536,2048,159,392,1005,1339,albopictus
train_00142.jpeg,3000,4000,1570,2924,1919,3251,albopictus
train_00148.jpeg,768,1024,122,298,472,700,albopictus
train_00149.jpeg,938,771,255,101,828,581,culex
train_00150.jpeg,1423,1493,326,495,911,1074,culiseta
train_00157.jpeg,2250,4000,734,1091,2098,2171,culex
train_00160.jpeg,3024,4032,1165,1512,1728,2181,culex
train_00162.jpeg,3024,4032,898,910,2651,2719,culex
train_00163.jpeg,3024,4032,1282,1995,1595,2350,culex
train_00170.jpeg,2128,4608,545,1976,1025,2753,japonicus-koreicus
train_00184.jpeg,1242,2208,369,706,890,1362,albopictus
train_00193.jpeg,3024,4032,1602,2735,1885,3127,albopictus
train_00195.jpeg,720,1280,27,292,620,1069,albopictus
train_00197.jpeg,3000,4000,1217,1159,1642,1901,albopictus
train_00202.jpeg,4032,3024,2112,1402,2649,1810,japonicus-koreicus
train_00203.jpeg,1816,4032,648,1537,1250,2255,culex
train_00209.jpeg,1280,720,593,417,657,486,albopictus
train_00210.jpeg,616,616,223,277,429,526,albopictus
train_00211.jpeg,3024,4032,1247,1561,2132,2282,culex
train_00213.jpeg,3024,4032,665,1569,2122,3003,albopictus
train_00214.jpeg,768,1024,445,452,688,742,culex
train_00220.jpeg,1024,1365,391,530,632,715,albopictus
train_00222.jpeg,1200,1600,493,653,699,985,albopictus
train_00230.jpeg,1234,1324,543,251,960,792,japonicus-koreicus
train_00231.jpeg,3120,4160,669,1441,2323,2922,albopictus
train_00234.jpeg,626,542,172,159,401,356,albopictus
train_00236.jpeg,768,1024,245,391,593,657,culex
train_00238.jpeg,4000,3000,936,1654,2375,2880,culex
train_00243.jpeg,3024,4032,1397,1852,1682,2223,japonicus-koreicus
train_00246.jpeg,1024,1365,333,477,761,869,culex
train_00249.jpeg,1824,1824,367,386,1216,1104,albopictus
train_00251.jpeg,2129,1024,502,344,903,709,culex
train_00253.jpeg,4032,3024,1252,798,2521,2601,albopictus
train_00273.jpeg,768,1024,321,372,434,501,culex
train_00277.jpeg,1600,900,716,380,1094,712,albopictus
train_00280.jpeg,3000,4000,1083,985,1747,1837,albopictus
train_00283.jpeg,3024,4032,1278,1683,1912,2259,culex
train_00289.jpeg,1024,1365,236,441,570,855,culiseta
train_00290.jpeg,1458,1449,440,411,1021,923,culex
train_00296.jpeg,828,1792,282,726,479,885,albopictus
train_00297.jpeg,1024,1365,78,74,744,893,culex
train_00298.jpeg,6000,8000,2376,3099,3319,4242,culex
train_00301.jpeg,900,1600,312,753,530,994,albopictus
train_00303.jpeg,3468,4624,790,1483,1938,2512,albopictus
train_00309.jpeg,3120,4160,41,404,2893,3099,culex
train_00320.jpeg,3000,4000,340,340,2420,3232,albopictus
train_00322.jpeg,1960,4032,668,2134,1154,2520,culex
train_00325.jpeg,1626,2340,273,699,902,1431,japonicus-koreicus
train_00326.jpeg,1024,1365,83,306,899,957,culex
train_00329.jpeg,3024,3024,1215,1004,1923,1726,albopictus
train_00331.jpeg,3024,4032,1238,1859,1630,2140,culex
train_00334.jpeg,768,1024,245,361,530,637,culex
train_00335.jpeg,768,1024,155,229,577,749,culex
train_00336.jpeg,1080,790,484,185,576,266,albopictus
train_00338.jpeg,3096,4128,570,1644,1498,2956,culex
train_00340.jpeg,3000,4000,1839,1650,2282,2079,albopictus
train_00352.jpeg,1024,1363,305,687,466,889,japonicus-koreicus
train_00363.jpeg,985,984,394,263,610,462,albopictus
train_00364.jpeg,1024,2273,356,888,605,1149,culex
train_00365.jpeg,1024,1820,406,735,650,1151,culex
train_00369.jpeg,1024,1365,361,584,589,707,culex
train_00370.jpeg,523,651,100,18,485,539,culex
train_00376.jpeg,3024,4032,1279,1842,1520,2085,culex
train_00377.jpeg,1024,1365,340,736,572,889,culex
train_00379.jpeg,3024,4032,1038,1801,1601,2333,culex
train_00380.jpeg,3264,2448,1335,428,2249,1262,albopictus
train_00383.jpeg,976,1475,352,535,667,853,culex
train_00393.jpeg,2448,3264,823,1207,1715,2123,albopictus
train_00394.jpeg,1024,1365,154,550,898,1244,japonicus-koreicus
train_00402.jpeg,1024,1365,388,623,534,731,culex
train_00409.jpeg,821,821,291,229,543,557,albopictus
train_00414.jpeg,768,1024,168,268,703,796,albopictus
train_00415.jpeg,4000,3000,1060,566,3092,2454,culex
train_00421.jpeg,2736,3648,402,463,1201,1308,culex
train_00425.jpeg,1818,1024,554,462,828,651,culex
train_00440.jpeg,768,1024,206,545,337,730,culiseta
train_00442.jpeg,768,1024,221,423,515,685,culex
train_00450.jpeg,2163,1024,839,325,1236,644,culex
train_00455.jpeg,4160,3120,1796,804,2592,1942,albopictus
train_00456.jpeg,3024,4032,1438,2075,1718,2292,albopictus
train_00461.jpeg,1024,1365,98,395,755,1250,culiseta
train_00462.jpeg,3024,4032,661,1645,1103,2196,albopictus
train_00467.jpeg,1717,1837,271,296,1468,1366,culex
train_00470.jpeg,768,1024,346,567,441,659,culex
train_00472.jpeg,720,1280,114,750,638,1205,albopictus
train_00478.jpeg,1679,2000,262,739,1181,1408,culex
train_00480.jpeg,2448,3264,616,1562,1429,2242,albopictus
train_00497.jpeg,2448,3264,696,1553,1128,2042,albopictus
train_00498.jpeg,1261,1423,526,506,812,914,culex
train_00506.jpeg,1820,1024,883,469,1119,636,culex
train_00509.jpeg,3024,4032,805,328,2588,2600,culex
train_00514.jpeg,1024,1365,410,733,517,835,japonicus-koreicus
train_00522.jpeg,3024,4032,837,1057,2419,2519,culex
train_00524.jpeg,1980,3520,109,1013,1448,2326,culiseta
train_00531.jpeg,2448,3264,273,1495,1492,3021,culex
train_00536.jpeg,1152,1536,69,215,955,1169,culex
train_00537.jpeg,1200,1600,426,512,563,675,albopictus
train_00538.jpeg,1066,1370,261,433,558,767,albopictus
train_00542.jpeg,943,863,296,288,697,513,culex
train_00543.jpeg,3648,2736,1266,737,2408,2168,albopictus
train_00545.jpeg,3000,4000,1285,540,1668,1033,albopictus
train_00551.jpeg,3096,4128,1743,1619,2380,2423,albopictus
train_00553.jpeg,4624,3468,1274,705,3130,2788,culex
train_00558.jpeg,881,776,294,255,616,579,albopictus
train_00561.jpeg,2088,4640,513,1476,974,2044,culiseta
train_00567.jpeg,3024,4032,717,1705,1527,2463,culex
train_00568.jpeg,1340,1376,434,409,937,1065,albopictus
train_00569.jpeg,1200,1600,425,611,654,890,albopictus
train_00571.jpeg,2268,4032,1177,2029,1592,2391,albopictus
train_00577.jpeg,1052,1095,107,103,947,1006,culex
train_00578.jpeg,767,1024,232,470,429,718,culex
train_00581.jpeg,3024,4032,1339,1861,1986,2455,albopictus
train_00582.jpeg,3000,4000,518,814,2235,3010,culex
train_00584.jpeg,1200,1600,213,546,810,923,albopictus
train_00585.jpeg,1421,1004,364,189,1207,881,albopictus
train_00590.jpeg,3024,4032,1183,1474,1707,2292,culiseta
train_00591.jpeg,1365,1024,557,341,748,480,culex
train_00595.jpeg,720,1600,283,433,512,616,albopictus
train_00598.jpeg,935,1278,264,448,604,857,albopictus
train_00613.jpeg,1205,1524,203,356,865,1252,albopictus
train_00616.jpeg,2976,3968,804,1609,2356,3138,albopictus
train_00618.jpeg,5376,3024,3076,364,3756,998,albopictus
train_00619.jpeg,1932,2576,654,1207,1124,1627,albopictus
train_00623.jpeg,2560,1440,255,261,1149,958,albopictus
train_00625.jpeg,3264,2448,2494,976,2781,1188,albopictus
train_00633.jpeg,1024,1365,326,501,474,698,culex
train_00637.jpeg,768,1024,226,484,415,675,culex
train_00643.jpeg,1536,2048,607,135,1161,566,culex
train_00644.jpeg,1024,1820,387,597,552,924,culex
train_00645.jpeg,2160,3840,248,1463,1669,2469,albopictus
train_00653.jpeg,845,713,244,84,477,499,culex
train_00663.jpeg,3024,4032,1276,2016,1728,2516,culex
train_00665.jpeg,1960,4032,268,1230,1228,2308,albopictus
train_00666.jpeg,4608,3456,1718,1523,2217,1972,culex
train_00667.jpeg,3024,4032,1260,1502,1852,2196,culiseta
train_00670.jpeg,3096,4128,803,786,2902,2408,albopictus
train_00672.jpeg,1024,1365,289,557,697,1184,culex
train_00674.jpeg,1365,1024,781,330,950,531,albopictus
train_00677.jpeg,3456,4608,1186,1366,2496,2678,albopictus
train_00678.jpeg,768,1024,355,517,445,614,albopictus
train_00682.jpeg,2448,3264,796,1385,1605,2097,albopictus
train_00687.jpeg,3456,4608,1529,2038,2061,2628,albopictus
train_00691.jpeg,1024,1365,345,538,786,887,culiseta
train_00693.jpeg,3024,4032,801,1679,2008,2685,albopictus
train_00698.jpeg,768,1024,461,465,618,574,culex
train_00701.jpeg,3468,4624,1373,2073,1801,2527,culex
train_00702.jpeg,1024,1365,299,486,636,986,culex
train_00704.jpeg,768,1024,153,200,481,536,culex
train_00706.jpeg,2448,3264,943,1548,1259,1911,albopictus
train_00711.jpeg,679,767,249,248,522,484,albopictus
train_00712.jpeg,1024,2273,439,896,657,1167,culex
train_00713.jpeg,768,1024,229,106,653,739,albopictus
train_00714.jpeg,766,1024,266,478,484,718,culex
train_00725.jpeg,2576,1932,1209,301,2096,1201,culex
train_00729.jpeg,4032,2268,502,441,2636,1914,albopictus
train_00731.jpeg,768,1024,312,460,435,621,culex
train_00736.jpeg,3024,4032,1020,2022,1447,2529,albopictus
train_00738.jpeg,1024,2245,490,1032,778,1367,culex
train_00743.jpeg,3024,4032,1538,1884,1824,2165,albopictus
train_00746.jpeg,1024,1365,288,280,616,749,albopictus
train_00759.jpeg,949,1309,269,540,839,1009,japonicus-koreicus
train_00761.jpeg,1080,2280,44,295,1045,1502,aegypti
train_00768.jpeg,768,1024,382,514,494,600,albopictus
train_00773.jpeg,3024,4032,803,1057,2282,2765,culex
train_00775.jpeg,1024,1820,15,160,696,1459,culex
train_00778.jpeg,768,1024,70,215,626,800,albopictus
train_00780.jpeg,3024,4032,645,1953,1412,2802,albopictus
train_00793.jpeg,3264,1836,1506,531,2165,1169,albopictus
train_00797.jpeg,3024,4032,941,1048,2973,3168,albopictus
train_00806.jpeg,1024,1365,418,576,648,730,culex
train_00821.jpeg,1260,1685,434,389,824,1047,culex
train_00828.jpeg,2472,2114,939,760,1596,1537,culex
train_00830.jpeg,3264,1836,1324,645,2007,1224,culex
train_00839.jpeg,768,1024,314,516,428,616,culex
train_00845.jpeg,3000,4000,957,1177,1716,2002,culex
train_00849.jpeg,768,1024,360,344,501,462,albopictus
train_00860.jpeg,1844,4000,510,1547,1137,2380,albopictus
train_00862.jpeg,1024,1365,242,393,753,1039,albopictus
train_00863.jpeg,3024,4032,1510,2026,1895,2446,culex
train_00878.jpeg,3024,4032,348,102,3024,3803,albopictus
train_00882.jpeg,3120,4160,974,1585,1662,2288,albopictus
train_00883.jpeg,768,1024,183,329,368,573,culex
train_00905.jpeg,1024,1365,180,147,752,797,culex
train_00906.jpeg,768,1024,328,465,424,530,culex
train_00909.jpeg,3024,4032,542,1233,1930,2582,culex
train_00912.jpeg,1024,1365,420,559,666,795,culex
train_00915.jpeg,768,1024,277,391,396,577,culex
train_00917.jpeg,1024,1820,200,1003,409,1201,culiseta
train_00919.jpeg,1024,1365,438,549,687,806,culiseta
train_00921.jpeg,3024,4032,825,1429,2712,2871,culex
